"","task","fold","min.val.loss","min.train.loss","min.test.loss","min.val.auc","min.val.step","end.auc","max.auc","max.auc.step","baseline.auc"
"126","P21802.PF07714: (4/13)",0,0.0950995236635208,0.0939574241638184,0.328323036432266,0.884615384615385,10,0.942307692307692,0.961538461538462,18,0.5
"127","P21802.PF07714: (4/13)",1,0.0564908683300018,0.0496432073414326,0.263502329587936,0.923076923076923,16,0.884615384615385,0.980769230769231,5,0.5
"128","P21802.PF07714: (4/13)",2,0.297523140907288,0.137649446725845,0.541612148284912,0.576923076923077,7,0.538461538461538,0.788461538461538,5,0.5
"129","P21802.PF07714: (4/13)",3,0.405873537063599,0.440131932497025,0.372018456459045,0.673076923076923,1,0.75,0.788461538461538,9,0.5
"130","P21802.PF07714: (4/13)",4,0.302538156509399,0.254933744668961,0.534717917442322,0.596153846153846,5,0.711538461538462,0.769230769230769,4,0.5
"131","P07949.PF00028: (6/12)",0,0.665732145309448,0.127161771059036,0.343157529830933,0.888888888888889,11,0.861111111111111,1,12,0.5
"132","P07949.PF00028: (6/12)",1,0.677836716175079,0.299457341432571,0.329321801662445,0.944444444444444,7,0.930555555555556,0.972222222222222,13,0.5
"133","P07949.PF00028: (6/12)",2,0.920413017272949,0.412055939435959,0.481397569179535,0.916666666666667,5,0.875,0.930555555555556,14,0.5
"134","P07949.PF00028: (6/12)",3,0.722606599330902,0.133278429508209,0.612535178661346,0.666666666666667,10,0.583333333333333,0.819444444444444,2,0.5
"135","P07949.PF00028: (6/12)",4,0.816225528717041,0.413695722818375,0.349880963563919,1,5,0.930555555555556,1,1,0.5
"136","P07949.PF07714: (6/12)",0,0.252467036247253,0.0745962113142014,0.259857952594757,0.916666666666667,11,0.916666666666667,0.930555555555556,7,0.5
"137","P07949.PF07714: (6/12)",1,0.316660583019257,0.0811698511242867,0.160720646381378,0.972222222222222,10,1,1,13,0.5
"138","P07949.PF07714: (6/12)",2,0.408507198095322,0.0537411235272884,0.283391088247299,0.930555555555556,11,0.972222222222222,1,8,0.5
"139","P07949.PF07714: (6/12)",3,0.158836290240288,0.0711666718125343,0.464896738529205,0.819444444444444,13,0.861111111111111,0.888888888888889,12,0.5
"140","P07949.PF07714: (6/12)",4,0.296450823545456,0.104984700679779,0.26658171415329,0.986111111111111,8,0.958333333333333,1,1,0.5
"141","P07949.PF17756: (6/12)",0,0.376851201057434,0.203335821628571,0.293035566806793,0.875,15,0.875,0.916666666666667,1,0.5
"142","P07949.PF17756: (6/12)",1,0.382462561130524,0.13100565969944,0.255369484424591,0.888888888888889,18,0.916666666666667,0.944444444444444,15,0.5
"143","P07949.PF17756: (6/12)",2,0.336075365543365,0.191418811678886,0.214800074696541,0.944444444444444,17,0.944444444444444,0.944444444444444,4,0.5
"144","P07949.PF17756: (6/12)",3,0.219246327877045,0.144185096025467,0.368878036737442,0.805555555555556,16,0.763888888888889,0.805555555555556,16,0.5
"145","P07949.PF17756: (6/12)",4,0.377206087112427,0.261553317308426,0.265587449073792,0.930555555555556,12,0.916666666666667,0.972222222222222,11,0.5
"146","P04637.PF00870: (38/5)",0,0.95026707649231,1.09639739990234,1.21731674671173,0.610526315789474,4,0.515789473684211,0.636842105263158,13,0.5
